songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=26700&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%AD%D8%AF%D9%89-%D8%A7%D8%AF%D9%87%D9%85-%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86"
lyrics: "أول حروف التحدي إصرار أمان وحياة
.
web-scraper-order: "1528753256-125"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني مارسيل خليفة"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
songs: "كلمات اغنية خائف من القمر مارسيل خليفة"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18435&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%AE%D8%A7%D8%A6%D9%81-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D9%85%D8%B1-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
lyrics: "خائف من القمر
.
web-scraper-order: "1528753624-246"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني علاء زلزلي"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=alaa-zalzaly&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%B9%D9%84%D8%A7%D8%A1-%D8%B2%D9%84%D8%B2%D9%84%D9%8A"
songs: "كلمات اغنية يا حنون علاء زلزلي"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=17721&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%8A%D8%A7-%D8%AD%D9%86%D9%88%D9%86-%D8%B9%D9%84%D8%A7%D8%A1-%D8%B2%D9%84%D8%B2%D9%84%D9%8A"
lyrics: "يا حنون قلبك حنون
.
web-scraper-order: "1528753467-180"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني كاتيا حرب"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=katia-harb&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%83%D8%A7%D8%AA%D9%8A%D8%A7-%D8%AD%D8%B1%D8%A8"
songs: "كلمات اغنية لو بتعدن كاتيا حرب"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18066&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%84%D9%88-%D8%A8%D8%AA%D8%B9%D8%AF%D9%86-%D9%83%D8%A7%D8%AA%D9%8A%D8%A7-%D8%AD%D8%B1%D8%A8"
lyrics: "لو بتعدن
.
web-scraper-order: "1528753751-299"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني ايمن زبيب"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=ayman-zbib&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8"
songs: "كلمات اغنية كرمالك ايمن زبيب"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=15823&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%83%D8%B1%D9%85%D8%A7%D9%84%D9%83-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8"
lyrics: "كرمالك
.
web-scraper-order: "1528753822-328"
